id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 53473346 ,5c7e9bc3-5abb-11e8-911c-28924ad12c5c,  -20.260000 ,  -43.798000 ,2010-01-02 16:21:00,Brasil,MINAS GERAIS,ITABIRITO,Mata Atlântica
 53506236 ,56d5d877-5abb-11e8-911c-28924ad12c5c,  -14.839000 ,  -44.557000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,CÔNEGO MARINHO,Cerrado
 53506234 ,56d5d875-5abb-11e8-911c-28924ad12c5c,  -14.841000 ,  -44.563000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,CÔNEGO MARINHO,Cerrado
 53506233 ,56d5d874-5abb-11e8-911c-28924ad12c5c,  -15.813000 ,  -41.845000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,CURRAL DE DENTRO,Cerrado
 53506232 ,56d5d873-5abb-11e8-911c-28924ad12c5c,  -15.816000 ,  -41.838000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,CURRAL DE DENTRO,Cerrado
 53506231 ,56d5d872-5abb-11e8-911c-28924ad12c5c,  -15.811000 ,  -41.826000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,CURRAL DE DENTRO,Cerrado
 53506229 ,56d5d870-5abb-11e8-911c-28924ad12c5c,  -15.915000 ,  -42.039000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,TAIOBEIRAS,Cerrado
 53506218 ,56d5d86d-5abb-11e8-911c-28924ad12c5c,  -18.009000 ,  -42.441000 ,2010-01-04 16:09:00,Brasil,MINAS GERAIS,SÃO SEBASTIÃO DO MARANHÃO,Mata Atlântica
 53506216 ,56d5d86b-5abb-11e8-911c-28924ad12c5c,  -17.497000 ,  -45.256000 ,2010-01-04 16:09:00,Brasil,MINAS GERAIS,BURITIZEIRO,Cerrado
 53506214 ,56d5d869-5abb-11e8-911c-28924ad12c5c,  -16.890000 ,  -41.464000 ,2010-01-04 16:09:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 53506244 ,31953b7d-5abb-11e8-911c-28924ad12c5c,  -15.917000 ,  -42.059000 ,2010-01-04 16:10:00,Brasil,MINAS GERAIS,TAIOBEIRAS,Cerrado
 53523495 ,56d5d9e2-5abb-11e8-911c-28924ad12c5c,  -15.377000 ,  -41.925000 ,2010-01-05 16:53:00,Brasil,MINAS GERAIS,SÃO JOÃO DO PARAÍSO,Mata Atlântica
 53523450 ,56d5d9dc-5abb-11e8-911c-28924ad12c5c,  -17.476000 ,  -47.505000 ,2010-01-05 16:52:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 53523447 ,56d5d9d9-5abb-11e8-911c-28924ad12c5c,  -17.082000 ,  -46.714000 ,2010-01-05 16:52:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 53523444 ,56d5d9d6-5abb-11e8-911c-28924ad12c5c,  -19.933000 ,  -46.410000 ,2010-01-05 16:52:00,Brasil,MINAS GERAIS,MEDEIROS,Cerrado
 53523412 ,56d5d9d0-5abb-11e8-911c-28924ad12c5c,  -21.667000 ,  -45.803000 ,2010-01-05 16:51:00,Brasil,MINAS GERAIS,PARAGUAÇU,Mata Atlântica
 53523474 ,31997756-5abb-11e8-911c-28924ad12c5c,  -15.388000 ,  -41.923000 ,2010-01-05 16:53:00,Brasil,MINAS GERAIS,SÃO JOÃO DO PARAÍSO,Mata Atlântica
 53554002 ,56d664b4-5abb-11e8-911c-28924ad12c5c,  -16.696000 ,  -41.440000 ,2010-01-07 16:40:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 53554001 ,56d664b3-5abb-11e8-911c-28924ad12c5c,  -16.697000 ,  -41.450000 ,2010-01-07 16:40:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 53583332 ,56d66671-5abb-11e8-911c-28924ad12c5c,  -15.800000 ,  -41.153000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,PEDRA AZUL,Mata Atlântica
 53583291 ,56d6666d-5abb-11e8-911c-28924ad12c5c,  -21.534000 ,  -43.537000 ,2010-01-09 16:27:00,Brasil,MINAS GERAIS,EWBANK DA CÂMARA,Mata Atlântica
 53583290 ,56d6666c-5abb-11e8-911c-28924ad12c5c,  -19.876000 ,  -44.986000 ,2010-01-09 16:27:00,Brasil,MINAS GERAIS,NOVA SERRANA,Cerrado
 53583289 ,56d6666b-5abb-11e8-911c-28924ad12c5c,  -20.606000 ,  -43.525000 ,2010-01-09 16:27:00,Brasil,MINAS GERAIS,CATAS ALTAS DA NORUEGA,Mata Atlântica
 53583318 ,31a283d8-5abb-11e8-911c-28924ad12c5c,  -16.139000 ,  -41.486000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 53583317 ,31a283d7-5abb-11e8-911c-28924ad12c5c,  -16.479000 ,  -42.981000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 53583315 ,31a283d5-5abb-11e8-911c-28924ad12c5c,  -17.553000 ,  -42.315000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,MINAS NOVAS,Cerrado
 53583310 ,31a283cf-5abb-11e8-911c-28924ad12c5c,  -17.552000 ,  -42.304000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,MINAS NOVAS,Cerrado
 53583309 ,31a283ce-5abb-11e8-911c-28924ad12c5c,  -20.498000 ,  -43.395000 ,2010-01-09 16:27:00,Brasil,MINAS GERAIS,MARIANA,Mata Atlântica
 53583350 ,5c81e349-5abb-11e8-911c-28924ad12c5c,  -15.941000 ,  -41.771000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,CURRAL DE DENTRO,Mata Atlântica
 53583348 ,5c81e347-5abb-11e8-911c-28924ad12c5c,  -16.203000 ,  -42.749000 ,2010-01-09 16:28:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 53597415 ,5c81e687-5abb-11e8-911c-28924ad12c5c,  -15.163000 ,  -46.149000 ,2010-01-10 17:11:00,Brasil,MINAS GERAIS,FORMOSO,Cerrado
 53610351 ,8b105faf-5abb-11e8-911c-28924ad12c5c,  -16.821000 ,  -41.601000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 53610336 ,8b105faa-5abb-11e8-911c-28924ad12c5c,  -16.555000 ,  -41.216000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,JEQUITINHONHA,Mata Atlântica
 53610284 ,56d6e4d5-5abb-11e8-911c-28924ad12c5c,  -18.157000 ,  -43.144000 ,2010-01-11 16:15:00,Brasil,MINAS GERAIS,RIO VERMELHO,Mata Atlântica
 53610342 ,31a80b8d-5abb-11e8-911c-28924ad12c5c,  -16.557000 ,  -41.229000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,JEQUITINHONHA,Mata Atlântica
 53610341 ,31a80b8c-5abb-11e8-911c-28924ad12c5c,  -16.701000 ,  -41.449000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 53610339 ,31a80b8a-5abb-11e8-911c-28924ad12c5c,  -15.861000 ,  -40.491000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,BANDEIRA,Mata Atlântica
 53610334 ,5c828454-5abb-11e8-911c-28924ad12c5c,  -16.478000 ,  -42.540000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,JOSENÓPOLIS,Cerrado
 53610321 ,5c828453-5abb-11e8-911c-28924ad12c5c,  -15.980000 ,  -42.456000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,NOVORIZONTE,Cerrado
 53610320 ,5c828452-5abb-11e8-911c-28924ad12c5c,  -16.142000 ,  -41.567000 ,2010-01-11 16:16:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
